discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,800m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/douglas-gordon-lowe,Douglas Gordon LOWE,Great Britain,GB,GBR
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,800m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/erik-bylehn,Erik BYLEHN,Sweden,SE,SWE
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/hermann-engelhard,Hermann ENGELHARD,Germany,DE,GER
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,shot put men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/john-h-kuck,John H. KUCK,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/herman-harold-brix,Herman Harold BRIX,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,shot put men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/emil-hirschfeld,Emil HIRSCHFELD,Germany,DE,GER
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,marathon men,Men,GOLD,Athlete,,,Boughera El Ouafi,France,FR,FRA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,marathon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/manuel-plaza-reyes,Manuel PLAZA REYES,Chile,CL,CHI
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,marathon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/martti-b-marttelin,Martti B. MARTTELIN,Finland,FI,FIN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay men,Men,SILVER,GameTeam,Germany team,,,Germany,DE,GER
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay men,Men,BRONZE,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,triple jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/mikio-oda,Mikio ODA,Japan,JP,JPN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,triple jump men,Men,SILVER,Athlete,,,Lee Casey,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,triple jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vilho-immanuel-tuulos,Vilho Immanuel TUULOS,Finland,FI,FIN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay women,Women,GOLD,GameTeam,Canada team,,,Canada,CA,CAN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay women,Women,SILVER,GameTeam,United States team,,,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,4x100m relay women,Women,BRONZE,GameTeam,Germany team,,,Germany,DE,GER
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,high jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/robert-wade-king,Robert Wade KING,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,high jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/benjamen-van-doren-hedges,Benjamen Van Doren HEDGES,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,high jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/claude-charles-menard,Claude Charles MENARD,France,FR,FRA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sabin-william-carr,Sabin William CARR,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/william-herbert-droegemueller,William Herbert DROEGEMUELLER,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/charles-english-mcginnis,Charles English MCGINNIS,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,10000m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/paavo-nurmi,Paavo NURMI,Finland,FI,FIN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,10000m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ville-ritola,Ville RITOLA,Finland,FI,FIN
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,10000m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/edvin-wide,Edvin WIDE,Sweden,SE,SWE
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/edward-barton-hamm,Edward Barton HAMM,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,long jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/silvio-m-cator,Silvio M. CATOR,Haiti,HT,HAI
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,long jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alfred-hilborn-bates,Alfred Hilborn BATES,United States of America,US,USA
Athletics,amsterdam-1928,Amsterdam,Netherlands,Europe,hammer throw men,Men,GOLD,Athlete,,,Pat O'Callaghan,Ireland,IE,IRL
