discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Rugby,antwerp-1920,Antwerp,Belgium,Europe,rugby men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Rugby,antwerp-1920,Antwerp,Belgium,Europe,rugby men,Men,SILVER,GameTeam,France team,,,France,FR,FRA
Boxing,antwerp-1920,Antwerp,Belgium,Europe,7257  7938kg lightheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/edward-eagan,Edward EAGAN,United States of America,US,USA
Boxing,antwerp-1920,Antwerp,Belgium,Europe,7257  7938kg lightheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/sverre-sorsdal,Sverre SÖRSDAL,Norway,NO,NOR
Boxing,antwerp-1920,Antwerp,Belgium,Europe,7257  7938kg lightheavyweight men,Men,BRONZE,Athlete,,,Harry Franks,Great Britain,GB,GBR
Boxing,antwerp-1920,Antwerp,Belgium,Europe,508  5352kg bantamweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/clarence-leonard-walker,Clarence Leonard WALKER,South Africa,ZA,RSA
Boxing,antwerp-1920,Antwerp,Belgium,Europe,508  5352kg bantamweight men,Men,SILVER,Athlete,,,Cliff Graham,Canada,CA,CAN
Boxing,antwerp-1920,Antwerp,Belgium,Europe,508  5352kg bantamweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/james-mckenzie-1,James MCKENZIE,Great Britain,GB,GBR
Boxing,antwerp-1920,Antwerp,Belgium,Europe,6668  7257kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/harry-william-mallin,Harry William MALLIN,Great Britain,GB,GBR
Boxing,antwerp-1920,Antwerp,Belgium,Europe,6668  7257kg middleweight men,Men,SILVER,Athlete,,,Art Prud'homme,Canada,CA,CAN
Boxing,antwerp-1920,Antwerp,Belgium,Europe,6668  7257kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/montgomery-hart-herscovitch,Montgomery Hart HERSCOVITCH,Canada,CA,CAN
Boxing,antwerp-1920,Antwerp,Belgium,Europe,5715  6124kg lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/samuel-mosberg,Samuel MOSBERG,United States of America,US,USA
Boxing,antwerp-1920,Antwerp,Belgium,Europe,5715  6124kg lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/gotfred-johansen,Gotfred JOHANSEN,Denmark,DK,DEN
