discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Fencing,foil individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/eugene-henri-gravelotte,Eugène-Henri GRAVELOTTE,France,FR,FRA
Fencing,foil individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/henri-callot,Henri CALLOT,France,FR,FRA
Fencing,foil individual men,Men,BRONZE,Athlete,,,Athanasios Vouros,Greece,GR,GRE
Fencing,foil individual men,Men,BRONZE,Athlete,,,Periklis Pierrakos-Mavromikhalis,Greece,GR,GRE
Fencing,sabre individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ioannis-georgiadis,Ioannis GEORGIADIS,Greece,GR,GRE
Fencing,sabre individual men,Men,SILVER,Athlete,,,Tilemakhos Karakalos,Greece,GR,GRE
Fencing,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/holger-nielsen-1,Holger NIELSEN,Denmark,DK,DEN
Fencing,foil masters men,Men,GOLD,Athlete,,,Leon Pyrgos,Greece,GR,GRE
Fencing,foil masters men,Men,SILVER,Athlete,,,Joanni Perronet,France,FR,FRA
Athletics,marathon men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/spyridon-louis,Spyridon LOUIS,Greece,GR,GRE
Athletics,marathon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/kharilaos-vasilakos,Kharilaos VASILAKOS,Greece,GR,GRE
Athletics,marathon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gyula-kellner,Gyula KELLNER,Hungary,HU,HUN
Athletics,100m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/thomas-burke,Thomas BURKE,United States of America,US,USA
Athletics,100m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/fritz-hofmann,Fritz HOFMANN,Germany,DE,GER
Athletics,100m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alajos-szokolyi,Alajos SZOKOLYI,Hungary,HU,HUN
Athletics,100m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/francis-lane,Francis LANE,United States of America,US,USA
Athletics,1500m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/edwin-flack,Edwin FLACK,Australia,AU,AUS
Athletics,1500m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/arthur-blake,Arthur BLAKE,United States of America,US,USA
Athletics,1500m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/albin-lermusiaux,Albin LERMUSIAUX,France,FR,FRA
Athletics,discus throw men,Men,GOLD,Athlete,,,Bob Garrett,United States of America,US,USA
Athletics,discus throw men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/panagiotis-paraskevopoulos,Panagiotis PARASKEVOPOULOS,Greece,GR,GRE
Athletics,discus throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sotirios-versis,Sotirios VERSIS,Greece,GR,GRE
Athletics,shot put men,Men,GOLD,Athlete,,,Bob Garrett,United States of America,US,USA
Athletics,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/miltiadis-gouskos,Miltiadis GOUSKOS,Greece,GR,GRE
Athletics,shot put men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/georgios-papasideris-1,Georgios PAPASIDERIS,Greece,GR,GRE
Athletics,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/william-welles-hoyt,William Welles HOYT,United States of America,US,USA
Athletics,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/albert-tyler,Albert TYLER,United States of America,US,USA
Athletics,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/evangelos-damaskos,Evangelos DAMASKOS,Greece,GR,GRE
Athletics,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ioannis-theodoropoulos,Ioannis THEODOROPOULOS,Greece,GR,GRE
