discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Rowing,lightweight coxless four 4 men,Men,GOLD,GameTeam,Denmark team,,,Denmark,DK,DEN
Rowing,lightweight coxless four 4 men,Men,SILVER,GameTeam,Australia team,,,Australia,AU,AUS
Rowing,lightweight coxless four 4 men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
Rowing,pair without coxswain 2 men,Men,GOLD,GameTeam,Australia team,https://olympics.com/en/athletes/drew-ginn,Drew GINN,Australia,AU,AUS
Rowing,pair without coxswain 2 men,Men,GOLD,GameTeam,Australia team,https://olympics.com/en/athletes/james-tomkins,James TOMKINS,Australia,AU,AUS
Rowing,pair without coxswain 2 men,Men,SILVER,GameTeam,Croatia team,https://olympics.com/en/athletes/sinisa-skelin,Sinisa SKELIN,Croatia,HR,CRO
Rowing,pair without coxswain 2 men,Men,SILVER,GameTeam,Croatia team,https://olympics.com/en/athletes/niksa-skelin,Niksa SKELIN,Croatia,HR,CRO
Rowing,pair without coxswain 2 men,Men,BRONZE,GameTeam,South Africa team,https://olympics.com/en/athletes/donovan-cech,Donovan CECH,South Africa,ZA,RSA
Rowing,pair without coxswain 2 men,Men,BRONZE,GameTeam,South Africa team,https://olympics.com/en/athletes/ramon-di-clemente,Ramon DI CLEMENTE,South Africa,ZA,RSA
Rowing,single sculls 1x women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/katrin-rutschow-stomporowski,Katrin RUTSCHOW-STOMPOROWSKI,Germany,DE,GER
Rowing,single sculls 1x women,Women,SILVER,Athlete,,,Yekaterina Khodotovich-Karsten,Belarus,BY,BLR
Rowing,single sculls 1x women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/rumyana-neykova,Rumyana NEYKOVA,Bulgaria,BG,BUL
Rowing,four without coxswain 4 men,Men,GOLD,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Rowing,four without coxswain 4 men,Men,SILVER,GameTeam,Canada team,,,Canada,CA,CAN
Rowing,four without coxswain 4 men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
Rowing,double sculls 2x men,Men,GOLD,GameTeam,France team,https://olympics.com/en/athletes/sebastien-vieilledent,Sebastien VIEILLEDENT,France,FR,FRA
Rowing,double sculls 2x men,Men,GOLD,GameTeam,France team,https://olympics.com/en/athletes/adrien-hardy,Adrien HARDY,France,FR,FRA
Rowing,double sculls 2x men,Men,SILVER,GameTeam,Slovenia team,https://olympics.com/en/athletes/luka-spik,Luka SPIK,Slovenia,SI,SLO
Rowing,double sculls 2x men,Men,SILVER,GameTeam,Slovenia team,https://olympics.com/en/athletes/iztok-cop,Iztok COP,Slovenia,SI,SLO
Rowing,double sculls 2x men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/rossano-galtarossa,Rossano GALTAROSSA,Italy,IT,ITA
Rowing,double sculls 2x men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/alessio-sartori,Alessio SARTORI,Italy,IT,ITA
Rowing,eight with coxswain 8 women,Women,GOLD,GameTeam,Romania team,,,Romania,RO,ROU
Rowing,eight with coxswain 8 women,Women,SILVER,GameTeam,United States team,,,United States of America,US,USA
Rowing,eight with coxswain 8 women,Women,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
Rowing,lightweight double sculls 2x men,Men,GOLD,GameTeam,Poland team,https://olympics.com/en/athletes/tomasz-kucharski,Tomasz KUCHARSKI,Poland,PL,POL
Rowing,lightweight double sculls 2x men,Men,GOLD,GameTeam,Poland team,https://olympics.com/en/athletes/robert-sycz,Robert SYCZ,Poland,PL,POL
Rowing,lightweight double sculls 2x men,Men,SILVER,GameTeam,France team,https://olympics.com/en/athletes/frederic-dufour,Frederic DUFOUR,France,FR,FRA
Rowing,lightweight double sculls 2x men,Men,SILVER,GameTeam,France team,https://olympics.com/en/athletes/pascal-touron,Pascal TOURON,France,FR,FRA
