discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Judo,66  73kg lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/kenzo-nakamura,Kenzo NAKAMURA,Japan,JP,JPN
Judo,66  73kg lightweight men,Men,SILVER,Athlete,,,Dae-Seong Gwak,Republic of Korea,KR,KOR
Judo,66  73kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/james-pedro,James PEDRO,United States of America,US,USA
Judo,66  73kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/christophe-gagliano,Christophe GAGLIANO,France,FR,FRA
Judo,66  72kg halfheavyweight women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ulla-werbrouck,Ulla WERBROUCK,Belgium,BE,BEL
Judo,66  72kg halfheavyweight women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/yoko-tanabe,Yoko TANABE,Japan,JP,JPN
Judo,66  72kg halfheavyweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/ylenia-scapin,Ylenia SCAPIN,Italy,IT,ITA
Judo,66  72kg halfheavyweight women,Women,BRONZE,Athlete,,,Diadenys Luna,Cuba,CU,CUB
Judo,48  52kg halflightweight women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/marie-claire-restoux,Marie-Claire RESTOUX,France,FR,FRA
Judo,48  52kg halflightweight women,Women,SILVER,Athlete,,,Suk-Hui Hyeon,Republic of Korea,KR,KOR
Judo,48  52kg halflightweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/noriko-narazaki,Noriko NARAZAKI,Japan,JP,JPN
Judo,48  52kg halflightweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/legna-verdecia,Legna VERDECIA,Cuba,CU,CUB
Judo,100kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/david-douillet,David DOUILLET,France,FR,FRA
Judo,100kg heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ernesto-perez-lobo,Ernesto PEREZ LOBO,Spain,ES,ESP
Judo,100kg heavyweight men,Men,BRONZE,Athlete,,,Frank Möller,Germany,DE,GER
Judo,100kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/harry-van-barneveld,Harry VAN BARNEVELD,Belgium,BE,BEL
Judo,90  100kg halfheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/pawel-nastula,Pawel NASTULA,Poland,PL,POL
Judo,90  100kg halfheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/min-soo-kim,Min-Soo KIM,Republic of Korea,KR,KOR
Judo,90  100kg halfheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/aurelio-miguel-fernandez,Aurelio MIGUEL FERNANDEZ,Brazil,BR,BRA
Judo,90  100kg halfheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/stephane-traineau,Stephane TRAINEAU,France,FR,FRA
Judo,56  61kg halfmiddleweight women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/yuko-emoto,Yuko EMOTO,Japan,JP,JPN
Judo,56  61kg halfmiddleweight women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/gella-vandecaveye,Gella VANDECAVEYE,Belgium,BE,BEL
Judo,56  61kg halfmiddleweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/jenny-gal,Jenny GAL,Netherlands,NL,NED
Judo,56  61kg halfmiddleweight women,Women,BRONZE,Athlete,,,Seong-Suk Jeong,Republic of Korea,KR,KOR
Judo,Atlanta 1996 Judo - 60 kg men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/tadahiro-nomura,Tadahiro NOMURA,Japan,JP,JPN
Judo,Atlanta 1996 Judo - 60 kg men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/girolamo-giovinazzo,Girolamo GIOVINAZZO,Italy,IT,ITA
Judo,Atlanta 1996 Judo - 60 kg men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/richard-trautmann,Richard TRAUTMANN,Germany,DE,GER
Judo,Atlanta 1996 Judo - 60 kg men,Men,BRONZE,Athlete,,,Narmandakh Dorjpalamyn,Mongolia,MN,MGL
Judo,81  90kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ki-young-jeon,Ki-Young JEON,Republic of Korea,KR,KOR
Judo,81  90kg middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/armen-bagdasarov,Armen BAGDASAROV,Uzbekistan,UZ,UZB
Judo,81  90kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/mark-huizinga,Mark HUIZINGA,Netherlands,NL,NED
Judo,81  90kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/marko-spittka,Marko SPITTKA,Germany,DE,GER
Judo,61  66kg middleweight women,Women,GOLD,Athlete,,,Min-Seon Jo,Republic of Korea,KR,KOR
Judo,61  66kg middleweight women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/aneta-szczepanska,Aneta SZCZEPANSKA,Poland,PL,POL
Judo,61  66kg middleweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/xianbo-wang,Xianbo WANG,People's Republic of China,CN,CHN
Judo,61  66kg middleweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/claudia-zwiers,Claudia ZWIERS,Netherlands,NL,NED
Judo,72kg heavyweight women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/fuming-sun,Fuming SUN,People's Republic of China,CN,CHN
Judo,72kg heavyweight women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/estela-rodriguez-villanueva,Estela RODRIGUEZ VILLANUEVA,Cuba,CU,CUB
Judo,72kg heavyweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/christine-cicot,Christine CICOT,France,FR,FRA
Judo,72kg heavyweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/johanna-hagn,Johanna HAGN,Germany,DE,GER
Judo,60  66kg halflightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/udo-quellmalz,Udo QUELLMALZ,Germany,DE,GER
Judo,60  66kg halflightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yukimasa-nakamura,Yukimasa NAKAMURA,Japan,JP,JPN
Judo,60  66kg halflightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henrique-guimaraes,Henrique GUIMARAES,Brazil,BR,BRA
Judo,60  66kg halflightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/israel-hernandez-plana,Israel HERNANDEZ PLANA,Cuba,CU,CUB
Judo,52  56kg lightweight women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/driulys-gonzalez,Driulys GONZALEZ,Cuba,CU,CUB
Judo,52  56kg lightweight women,Women,SILVER,Athlete,,,Seon-Yong Jeong,Republic of Korea,KR,KOR
Judo,52  56kg lightweight women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/isabel-fernandez-gutierrez,Isabel FERNANDEZ GUTIERREZ,Spain,ES,ESP
