discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Wrestling,"Super-Heavyweight, Freestyle (≤130 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/bruce-robert-baumgartner,Bruce Robert BAUMGARTNER,United States of America,US,USA
Wrestling,"Super-Heavyweight, Freestyle (≤130 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/jeffrey-james-milton-thue,Jeffrey James Milton THUE,Canada,CA,CAN
Wrestling,"Super-Heavyweight, Freestyle (≤130 kilograms) Men",Men,BRONZE,Athlete,,,Davit Gobejishvili,Unified Team,,EUN
Wrestling,"Welterweight, Freestyle (≤74 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/jang-soon-park,Jang-Soon PARK,Republic of Korea,KR,KOR
Wrestling,"Welterweight, Freestyle (≤74 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/kenneth-monday,Kenneth MONDAY,United States of America,US,USA
Wrestling,"Welterweight, Freestyle (≤74 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/amir-reza-khadem-azghadi,Amir Reza KHADEM AZGHADI,Islamic Republic of Iran,IR,IRI
Wrestling,"Light-Heavyweight, Greco-Roman (≤90 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/maik-bullmann,Maik BULLMANN,Germany,DE,GER
Wrestling,"Light-Heavyweight, Greco-Roman (≤90 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/hakki-basar,Hakki BASAR,Turkey,TR,TUR
Wrestling,"Light-Heavyweight, Greco-Roman (≤90 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gogi-koguashvili,Gogi KOGUASHVILI,Unified Team,,EUN
Wrestling,"Light-Flyweight, Freestyle (≤48 kilograms) Men",Men,GOLD,Athlete,,,Il-Ong Kim,Democratic People's Republic of Korea,KP,PRK
