discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Cycling BMX,Individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anne-caroline-chausson,Anne-Caroline CHAUSSON,France,FR,FRA
Cycling BMX,Individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/laetitia-le-corguille,Laetitia LE CORGUILLE,France,FR,FRA
Cycling BMX,Individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/jill-kintner,Jill KINTNER,United States of America,US,USA
Cycling BMX,Individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/maris-strombergs,Maris STROMBERGS,Latvia,LV,LAT
Cycling BMX,Individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/mike-day-1,Mike DAY,United States of America,US,USA
Cycling BMX,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/donny-robinson,Donny ROBINSON,United States of America,US,USA
Fencing,foil individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/maria-valentina-vezzali,Maria Valentina VEZZALI,Italy,IT,ITA
Fencing,foil individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/hyunhee-nam,Hyunhee NAM,Republic of Korea,KR,KOR
Fencing,foil individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/margherita-granbassi,Margherita GRANBASSI,Italy,IT,ITA
Fencing,sabre team men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Fencing,sabre team men,Men,SILVER,GameTeam,United States team,,,United States of America,US,USA
Fencing,sabre team men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,sabre team women,Women,GOLD,GameTeam,Ukraine team,,,Ukraine,UA,UKR
Fencing,sabre team women,Women,SILVER,GameTeam,People's Republic of China team,,,People's Republic of China,CN,CHN
Fencing,sabre team women,Women,BRONZE,GameTeam,United States team,,,United States of America,US,USA
Fencing,sabre individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/mariel-zagunis,Mariel ZAGUNIS,United States of America,US,USA
Fencing,sabre individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/sada-jacobson,Sada JACOBSON,United States of America,US,USA
Fencing,sabre individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/becca-ward,Becca WARD,United States of America,US,USA
Fencing,sabre individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/man-zhong,Man ZHONG,People's Republic of China,CN,CHN
Fencing,sabre individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/nicolas-lopez,Nicolas LOPEZ,France,FR,FRA
Fencing,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/mihai-covaliu,Mihai COVALIU,Romania,RO,ROU
Fencing,foil individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/benjamin-kleibrink,Benjamin KLEIBRINK,Germany,DE,GER
