discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Handball,handball men,Men,GOLD,GameTeam,Germany team,,,Germany,DE,GER
Handball,handball men,Men,SILVER,GameTeam,Austria team,,,Austria,AT,AUT
Handball,handball men,Men,BRONZE,GameTeam,Switzerland team,,,Switzerland,CH,SUI
Equestrian Eventing,individual mixed,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ludwig-stubbendorf,Ludwig STUBBENDORF,Germany,DE,GER
Equestrian Eventing,individual mixed,Men,SILVER,Athlete,,https://olympics.com/en/athletes/earl-thomson,Earl THOMSON,United States of America,US,USA
Equestrian Eventing,individual mixed,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/hans-matthiesen-lunding,Hans Matthiesen LUNDING,Denmark,DK,DEN
Equestrian Eventing,team mixed,Men,GOLD,GameTeam,Germany team,,,Germany,DE,GER
Equestrian Eventing,team mixed,Men,SILVER,GameTeam,Poland team,,,Poland,PL,POL
Equestrian Eventing,team mixed,Men,BRONZE,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Athletics,80m hurdles women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/trebisonda-valla,Trebisonda VALLA,Italy,IT,ITA
Athletics,80m hurdles women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/anni-steuer,Anni STEUER,Germany,DE,GER
Athletics,80m hurdles women,Women,BRONZE,Athlete,,,Betty Taylor,Canada,CA,CAN
Athletics,4x100m relay women,Women,GOLD,GameTeam,United States team,,,United States of America,US,USA
Athletics,4x100m relay women,Women,SILVER,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Athletics,4x100m relay women,Women,BRONZE,GameTeam,Canada team,,,Canada,CA,CAN
Athletics,1500m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/john-lovelock,John LOVELOCK,New Zealand,NZ,NZL
Athletics,1500m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/glenn-cunningham,Glenn CUNNINGHAM,United States of America,US,USA
Athletics,1500m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/luigi-beccali,Luigi BECCALI,Italy,IT,ITA
Athletics,shot put men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/hans-woellke,Hans WOELLKE,Germany,DE,GER
Athletics,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/sulo-barlund,Sulo BÄRLUND,Finland,FI,FIN
Athletics,shot put men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gerhard-stock,Gerhard STÖCK,Germany,DE,GER
Athletics,decathlon men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/glenn-edward-morris,Glenn Edward MORRIS,United States of America,US,USA
Athletics,decathlon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/robert-hyatt-clark,Robert Hyatt CLARK,United States of America,US,USA
Athletics,decathlon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-jack-parker,John Jack PARKER,United States of America,US,USA
Athletics,javelin throw women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/mathilde-tilly-fleischer,Mathilde (Tilly) FLEISCHER,Germany,DE,GER
Athletics,javelin throw women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/luise-kruger,Luise KRÜGER,Germany,DE,GER
Athletics,javelin throw women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/marja-jadwiga-kwasniewska-maleszewska,Marja Jadwiga KWASNIEWSKA-MALESZEWSKA,Poland,PL,POL
Athletics,5000m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/gunnar-hockert,Gunnar HÖCKERT,Finland,FI,FIN
Athletics,5000m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/lauri-aleksanteri-lehtinen,Lauri Aleksanteri LEHTINEN,Finland,FI,FIN
Athletics,5000m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henry-jonsson-kalarne,Henry JONSSON-KÄLARNE,Sweden,SE,SWE
Athletics,200m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/jesse-owens,Jesse OWENS,United States of America,US,USA
Athletics,200m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/matthew-mackenzie-robinson,Matthew Mackenzie ROBINSON,United States of America,US,USA
Athletics,200m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/martinus-osendarp,Martinus OSENDARP,Netherlands,NL,NED
Athletics,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/earle-elmer-meadows,Earle Elmer MEADOWS,United States of America,US,USA
Athletics,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/shuhei-nishida,Shuhei NISHIDA,Japan,JP,JPN
Athletics,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sueo-oe,Sueo OE,Japan,JP,JPN
Athletics,high jump women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ibolya-csak,Ibolya CSAK,Hungary,HU,HUN
Athletics,high jump women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/dorothy-beatrice-j-odam-tyler,Dorothy Beatrice J. ODAM-TYLER,Great Britain,GB,GBR
