discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Cycling Track,1km time trial men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/russell-mockridge,Russell MOCKRIDGE,Australia,AU,AUS
Cycling Track,1km time trial men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/marino-morettini,Marino MORETTINI,Italy,IT,ITA
Cycling Track,1km time trial men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/raymond-leonard-robinson,Raymond Leonard ROBINSON,South Africa,ZA,RSA
Cycling Track,Sprint individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/enzo-sacchi,Enzo SACCHI,Italy,IT,ITA
Cycling Track,Sprint individual men,Men,SILVER,Athlete,,,Lionel Cox,Australia,AU,AUS
Cycling Track,Sprint individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/werner-potzernheim,Werner POTZERNHEIM,Germany,DE,GER
Cycling Track,2000m tandem men,Men,GOLD,GameTeam,Australia team,,Lionel Cox,Australia,AU,AUS
Cycling Track,2000m tandem men,Men,GOLD,GameTeam,Australia team,https://olympics.com/en/athletes/russell-mockridge,Russell MOCKRIDGE,Australia,AU,AUS
Cycling Track,2000m tandem men,Men,SILVER,GameTeam,South Africa team,https://olympics.com/en/athletes/raymond-leonard-robinson,Raymond Leonard ROBINSON,South Africa,ZA,RSA
Cycling Track,2000m tandem men,Men,SILVER,GameTeam,South Africa team,,Tommy Shardelow,South Africa,ZA,RSA
Cycling Track,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/antonio-maspes,Antonio MASPES,Italy,IT,ITA
Cycling Track,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/cesare-pinarello,Cesare PINARELLO,Italy,IT,ITA
Cycling Track,Team Pursuit 4000m men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA
Cycling Track,Team Pursuit 4000m men,Men,SILVER,GameTeam,South Africa team,,,South Africa,ZA,RSA
Cycling Track,Team Pursuit 4000m men,Men,BRONZE,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Athletics,triple jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/adhemar-ferreira-da-silva,Adhemar FERREIRA DA SILVA,Brazil,BR,BRA
Athletics,triple jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/leonid-shcherbakov,Leonid SHCHERBAKOV,Soviet Union,,URS
Athletics,triple jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arnoldo-devonish,Arnoldo DEVONISH,Venezuela,VE,VEN
Athletics,discus throw men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/simeon-garland-iness,Simeon Garland INESS,United States of America,US,USA
Athletics,discus throw men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/adolfo-consolini,Adolfo CONSOLINI,Italy,IT,ITA
Athletics,discus throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/james-leo-dillion,James Leo DILLION,United States of America,US,USA
Athletics,4x100m relay men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Athletics,4x100m relay men,Men,SILVER,GameTeam,Soviet Union team,,,Soviet Union,,URS
Athletics,4x100m relay men,Men,BRONZE,GameTeam,Hungary team,,,Hungary,HU,HUN
Athletics,200m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/andrew-william-stanfield,Andrew William STANFIELD,United States of America,US,USA
Athletics,200m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/walter-thane-baker,Walter Thane BAKER,United States of America,US,USA
Athletics,200m men,Men,BRONZE,Athlete,,,Jimmy Gathers,United States of America,US,USA
Athletics,400m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/vincent-george-rhoden,Vincent George RHODEN,Jamaica,JM,JAM
Athletics,400m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/herbert-mckenley,Herbert MCKENLEY,Jamaica,JM,JAM
Athletics,400m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/oliver-adrian-matson,Oliver Adrian MATSON,United States of America,US,USA
Athletics,200m women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/marjorie-jackson,Marjorie JACKSON,Australia,AU,AUS
Athletics,200m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/bertha-brouwer,Bertha BROUWER,Netherlands,NL,NED
Athletics,200m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/nadezhda-khnykina-dvalishvili,Nadezhda KHNYKINA-DVALISHVILI,Soviet Union,,URS
Athletics,high jump women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/esther-cornelia-brand,Esther Cornelia BRAND,South Africa,ZA,RSA
