discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Fencing,épée individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/gaston-alibert,Gaston ALIBERT,France,FR,FRA
Fencing,épée individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alexandre-lippmann,Alexandre LIPPMANN,France,FR,FRA
Fencing,épée individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/eugene-victor-olivier,Eugène Victor OLIVIER,France,FR,FRA
Fencing,sabre individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/jeno-fuchs,Jenö FUCHS,Hungary,HU,HUN
Fencing,sabre individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/bela-zulawsky,Béla ZULAWSKY,Hungary,HU,HUN
Fencing,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vilem-goppold-z-lobsdorfu-sr,"Vilém GOPPOLD Z LOBSDORFU, SR.",Bohemia,,BOH
Fencing,sabre team men,Men,GOLD,GameTeam,Hungary team,,,Hungary,HU,HUN
Fencing,sabre team men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,sabre team men,Men,BRONZE,GameTeam,Bohemia team,,,Bohemia,,BOH
Fencing,épée team men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Fencing,épée team men,Men,SILVER,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Fencing,épée team men,Men,BRONZE,GameTeam,Belgium team,,,Belgium,BE,BEL
Wrestling,"Middleweight, Freestyle (≤73 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/stanley-vivian-bacon,Stanley Vivian BACON,Great Britain,GB,GBR
Wrestling,"Middleweight, Freestyle (≤73 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/george-b-van-damen,George B. VAN DAMEN,Great Britain,GB,GBR
Wrestling,"Middleweight, Freestyle (≤73 kilograms) Men",Men,BRONZE,Athlete,,,Fred Beck,Great Britain,GB,GBR
Wrestling,"Lightweight, Greco-Roman (≤66.6 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/enrico-porro,Enrico PORRO,Italy,IT,ITA
Wrestling,"Lightweight, Greco-Roman (≤66.6 kilograms) Men",Men,SILVER,Athlete,,,Nikolay Orlov,Russian Federation,RU,RUS
Wrestling,"Lightweight, Greco-Roman (≤66.6 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arvid-linden,Arvid LINDEN,Finland,FI,FIN
Wrestling,"Middleweight, Greco-Roman (≤73 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/frithiof-m-martensson,Frithiof M. MARTENSSON,Sweden,SE,SWE
Wrestling,"Middleweight, Greco-Roman (≤73 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/mauritz-andersson,Mauritz ANDERSSON,Sweden,SE,SWE
Wrestling,"Middleweight, Greco-Roman (≤73 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/anders-hartington-andersen,Anders HARTINGTON-ANDERSEN,Denmark,DK,DEN
Wrestling,"Lightweight, Freestyle (≤146.75 pounds) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/george-b-van-damen,George B. VAN DAMEN,Great Britain,GB,GBR
Wrestling,"Lightweight, Freestyle (≤146.75 pounds) Men",Men,SILVER,Athlete,,,William Wood,Great Britain,GB,GBR
Wrestling,"Lightweight, Freestyle (≤146.75 pounds) Men",Men,BRONZE,Athlete,,,Arthur Gingell,Great Britain,GB,GBR
Wrestling,"Featherweight, Freestyle (≤133 pounds) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/george-stuart-dole,George Stuart DOLE,United States of America,US,USA
Wrestling,"Featherweight, Freestyle (≤133 pounds) Men",Men,SILVER,Athlete,,,John Slim,Great Britain,GB,GBR
Wrestling,"Featherweight, Freestyle (≤133 pounds) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-mckie,William MCKIE,Great Britain,GB,GBR
Wrestling,"Heavyweight, Greco-Roman (>93 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/richard-weisz,Richard WEISZ,Hungary,HU,HUN
Wrestling,"Heavyweight, Greco-Roman (>93 kilograms) Men",Men,SILVER,Athlete,,,Aleksandr Petrov,Russian Federation,RU,RUS
Wrestling,"Heavyweight, Greco-Roman (>93 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/soren-marius-jensen,Sören Marius JENSEN,Denmark,DK,DEN
Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/george-nicholas-mehnert,George Nicholas MEHNERT,United States of America,US,USA
