discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Sailing,dragon mixed,Open,GOLD,GameTeam,Norway team,,,Norway,NO,NOR
Sailing,dragon mixed,Open,SILVER,GameTeam,Sweden team,,,Sweden,SE,SWE
Sailing,dragon mixed,Open,BRONZE,GameTeam,Denmark team,,,Denmark,DK,DEN
Sailing,firefly class mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/paul-elvstrom,Paul Elvstrøm,Denmark,DK,DEN
Sailing,firefly class mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/ralph-liggett-jr-evans,Ralph Liggett Jr. EVANS,United States of America,US,USA
Sailing,firefly class mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/jacobus-hermanus-hendrik-de-jong,Jacobus Hermanus Hendrik DE JONG,Netherlands,NL,NED
Sailing,swallow golondrina mixed,Open,GOLD,GameTeam,Great Britain team,https://olympics.com/en/athletes/stewart-harold-morris,Stewart Harold MORRIS,Great Britain,GB,GBR
Sailing,swallow golondrina mixed,Open,GOLD,GameTeam,Great Britain team,https://olympics.com/en/athletes/david-john-were-bond,David John Were BOND,Great Britain,GB,GBR
Sailing,swallow golondrina mixed,Open,SILVER,GameTeam,Portugal team,https://olympics.com/en/athletes/duarte-m-d-almeida-bello,Duarte M.D'Almeida BELLO,Portugal,PT,POR
Sailing,swallow golondrina mixed,Open,SILVER,GameTeam,Portugal team,https://olympics.com/en/athletes/fernando-pinto-coelho-bello,Fernando Pinto Coelho BELLO,Portugal,PT,POR
Sailing,swallow golondrina mixed,Open,BRONZE,GameTeam,United States of America team,https://olympics.com/en/athletes/lockwood-masters-pirie,Lockwood Masters PIRIE,United States of America,US,USA
Sailing,swallow golondrina mixed,Open,BRONZE,GameTeam,United States of America team,https://olympics.com/en/athletes/owen-cates-jr-torrey,Owen Cates Jr. TORREY,United States of America,US,USA
Sailing,twoperson keelboat open Star mixed,Open,GOLD,GameTeam,United States of America team,https://olympics.com/en/athletes/hilary-hurlburt-smart,Hilary Hurlburt SMART,United States of America,US,USA
