discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Water Polo,water polo men,Men,GOLD,GameTeam,Hungary team,,,Hungary,HU,HUN
Water Polo,water polo men,Men,SILVER,GameTeam,Germany team,,,Germany,DE,GER
Water Polo,water polo men,Men,BRONZE,GameTeam,United States team,,,United States of America,US,USA
Boxing,6668  7257kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/carmen-barth,Carmen BARTH,United States of America,US,USA
Boxing,6668  7257kg middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/amado-azar,Amado AZAR,Argentina,AR,ARG
Boxing,6668  7257kg middleweight men,Men,BRONZE,Athlete,,,Eddie Peirce,South Africa,ZA,RSA
Boxing,7938kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alberto-santiago-lovell,Alberto Santiago LOVELL,Argentina,AR,ARG
Boxing,7938kg heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/luigi-rovati,Luigi ROVATI,Italy,IT,ITA
Boxing,7938kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/frederick-feary,Frederick FEARY,United States of America,US,USA
Boxing,508kg flyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/istvan-enekes,Istvan ENEKES,Hungary,HU,HUN
Boxing,508kg flyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/francisco-cabanas,Francisco CABANAS,Mexico,MX,MEX
Boxing,508kg flyweight men,Men,BRONZE,Athlete,,,Lou Salica,United States of America,US,USA
Boxing,6124  6668kg welterweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/edward-l-flynn,Edward L. FLYNN,United States of America,US,USA
Boxing,6124  6668kg welterweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/erich-campe,Erich CAMPE,Germany,DE,GER
Boxing,6124  6668kg welterweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/bruno-valfrid-ahlberg,Bruno Valfrid AHLBERG,Finland,FI,FIN
Boxing,7257  7938kg lightheavyweight men,Men,GOLD,Athlete,,,Dave Carstens,South Africa,ZA,RSA
Boxing,7257  7938kg lightheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/gino-rossi,Gino ROSSI,Italy,IT,ITA
Boxing,7257  7938kg lightheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/peter-oscar-jorgensen,Peter Oscar JORGENSEN,Denmark,DK,DEN
Boxing,508  54kg bantamweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/horace-lefty-gwynne,Horace Lefty GWYNNE,Canada,CA,CAN
Boxing,508  54kg bantamweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/hans-ziglarski,Hans ZIGLARSKI,Germany,DE,GER
Boxing,508  54kg bantamweight men,Men,BRONZE,Athlete,,,José Luis Villanueva,Philippines,PH,PHI
Boxing,54  5715kg featherweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/carmelo-ambrosio-robledo,Carmelo Ambrosio ROBLEDO,Argentina,AR,ARG
Boxing,54  5715kg featherweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/josef-schleinkofer,Josef SCHLEINKOFER,Germany,DE,GER
Boxing,54  5715kg featherweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/allan-carlsson-ekeback,Allan CARLSSON-EKEBACK,Sweden,SE,SWE
Boxing,5715  6124kg lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/lawrence-stevens,Lawrence STEVENS,South Africa,ZA,RSA
Boxing,5715  6124kg lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/thure-ahlqvist,Thure AHLQVIST,Sweden,SE,SWE
Boxing,5715  6124kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/nathan-bor,Nathan BOR,United States of America,US,USA
Weightlifting,67.5-75kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/rudolf-ismayr,Rudolf ISMAYR,Germany,DE,GER
Weightlifting,67.5-75kg middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/carlo-galimberti,Carlo GALIMBERTI,Italy,IT,ITA
Weightlifting,67.5-75kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/karl-hipfinger,Karl HIPFINGER,Austria,AT,AUT
Weightlifting,75-82.5kg total lightheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/louis-hostin,Louis HOSTIN,France,FR,FRA
Weightlifting,75-82.5kg total lightheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/svend-egil-benjamin-olsen,Svend Egil Benjamin OLSEN,Denmark,DK,DEN
Weightlifting,75-82.5kg total lightheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henry-ludwig-duey,Henry Ludwig DUEY,United States of America,US,USA
Weightlifting,60kg featherweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/raymond-suvigny,Raymond SUVIGNY,France,FR,FRA
Weightlifting,60kg featherweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/hans-wolpert,Hans WÖLPERT,Germany,DE,GER
Weightlifting,60kg featherweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/anthony-terlazzo,Anthony TERLAZZO,United States of America,US,USA
Weightlifting,60-67.5kg lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/rene-duverger,René DUVERGER,France,FR,FRA
Weightlifting,60-67.5kg lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/hans-haas,Hans HAAS,Austria,AT,AUT
Weightlifting,60-67.5kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gastone-pierini,Gastone PIERINI,Italy,IT,ITA
Weightlifting,82.5kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/jaroslav-skobla-1,Jaroslav SKOBLA,Czechoslovakia,CSHH,TCH
