discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Fencing,foil individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/jujie-luan,Jujie LUAN,People's Republic of China,CN,CHN
Fencing,foil individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/cornelia-hanisch,Cornelia HANISCH,Federal Republic of Germany,DE,FRG
Fencing,foil individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/dorina-vaccaroni,Dorina VACCARONI,Italy,IT,ITA
Fencing,foil team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,foil team men,Men,SILVER,GameTeam,West Germany team,,,Federal Republic of Germany,DE,FRG
Fencing,foil team men,Men,BRONZE,GameTeam,France team,,,France,FR,FRA
Fencing,sabre individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/jean-francois-lamour,Jean-François LAMOUR,France,FR,FRA
Fencing,sabre individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/marco-marin,Marco MARIN,Italy,IT,ITA
Fencing,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/peter-jonathan-westbrook,Peter Jonathan WESTBROOK,United States of America,US,USA
Fencing,foil individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/mauro-numa,Mauro NUMA,Italy,IT,ITA
Fencing,foil individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/matthias-behr,Matthias BEHR,Federal Republic of Germany,DE,FRG
Fencing,foil individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/stefano-cerioni,Stefano CERIONI,Italy,IT,ITA
Fencing,foil team women,Women,GOLD,GameTeam,West Germany team,,,Federal Republic of Germany,DE,FRG
Fencing,foil team women,Women,SILVER,GameTeam,Romania team,,,Romania,RO,ROU
Fencing,foil team women,Women,BRONZE,GameTeam,France team,,,France,FR,FRA
Fencing,épée individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/philippe-boisse,Philippe BOISSE,France,FR,FRA
Fencing,épée individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/bjorne-vaggo,Björne VÄGGÖ,Sweden,SE,SWE
Fencing,épée individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/philippe-riboud,Philippe RIBOUD,France,FR,FRA
Fencing,sabre team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,sabre team men,Men,SILVER,GameTeam,France team,,,France,FR,FRA
Fencing,sabre team men,Men,BRONZE,GameTeam,Romania team,,,Romania,RO,ROU
Fencing,épée team men,Men,GOLD,GameTeam,West Germany team,,,Federal Republic of Germany,DE,FRG
