discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Basketball,basketball men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Basketball,basketball men,Men,SILVER,GameTeam,Soviet Union team,,,Soviet Union,,URS
Basketball,basketball men,Men,BRONZE,GameTeam,Uruguay team,,,Uruguay,UY,URU
Diving,10m platform women,Women,GOLD,Athlete,,,Pat McCormick,United States of America,US,USA
Diving,10m platform women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/juno-roslays-stover-irwin,Juno Roslays STOVER-IRWIN,United States of America,US,USA
Diving,10m platform women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/paula-jean-myers-pope,Paula Jean MYERS-POPE,United States of America,US,USA
Diving,10m platform men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/joaquin-capilla-perez,Joaquin CAPILLA PEREZ,Mexico,MX,MEX
Diving,10m platform men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/gary-milburn-tobian,Gary Milburn TOBIAN,United States of America,US,USA
Diving,10m platform men,Men,BRONZE,Athlete,,,Dick Conner,United States of America,US,USA
Diving,3m springboard women,Women,GOLD,Athlete,,,Pat McCormick,United States of America,US,USA
Diving,3m springboard women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/jeanne-georgetta-stunyo,Jeanne Georgetta STUNYO,United States of America,US,USA
Diving,3m springboard women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/irene-margaret-mac-donald,Irene Margaret MAC DONALD,Canada,CA,CAN
Diving,3m springboard men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/robert-lynn-clotworthy,Robert Lynn CLOTWORTHY,United States of America,US,USA
Diving,3m springboard men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/donald-de-wayne-harper,Donald De Wayne HARPER,United States of America,US,USA
Diving,3m springboard men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/joaquin-capilla-perez,Joaquin CAPILLA PEREZ,Mexico,MX,MEX
Cycling Road,team time trial men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Cycling Road,team time trial men,Men,SILVER,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Cycling Road,team time trial men,Men,BRONZE,GameTeam,Germany team,,,Germany,DE,GER
Cycling Road,individual road race men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ercole-baldini,Ercole BALDINI,Italy,IT,ITA
Cycling Road,individual road race men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/arnaud-geyre,Arnaud GEYRE,France,FR,FRA
Cycling Road,individual road race men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alan-wharmby-jackson,Alan Wharmby JACKSON,Great Britain,GB,GBR
Boxing,51-54kg bantamweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/wolfgang-behrendt,Wolfgang BEHRENDT,Germany,DE,GER
Boxing,51-54kg bantamweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/soon-chun-song,Soon-Chun SONG,Republic of Korea,KR,KOR
Boxing,51-54kg bantamweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/frederick-gilroy,Frederick GILROY,Ireland,IE,IRL
Boxing,51-54kg bantamweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/claudio-barrientos,Claudio BARRIENTOS,Chile,CL,CHI
Boxing,54-57kg featherweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/vladimir-safronov,Vladimir SAFRONOV,Soviet Union,,URS
Boxing,54-57kg featherweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/thomas-g-nicholls,Thomas G. NICHOLLS,Great Britain,GB,GBR
