discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Hockey,hockey men,Men,GOLD,GameTeam,Pakistan team,,,Pakistan,PK,PAK
Hockey,hockey men,Men,SILVER,GameTeam,Australia team,,,Australia,AU,AUS
Hockey,hockey men,Men,BRONZE,GameTeam,India team,,,India,IN,IND
Diving,10m platform women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/milena-duchkova,Milena DUCHKOVA,Czechoslovakia,CSHH,TCH
Diving,10m platform women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/natalya-kuznetsova-lobanova,Natalya KUZNETSOVA-LOBANOVA,Soviet Union,,URS
Diving,10m platform women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/ann-stewart-peterson,Ann Stewart PETERSON,United States of America,US,USA
Diving,3m springboard men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/bernard-charles-wrightson,Bernard Charles WRIGHTSON,United States of America,US,USA
Diving,3m springboard men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/klaus-dibiasi,Klaus DIBIASI,Italy,IT,ITA
Diving,3m springboard men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/james-edward-henry,James Edward HENRY,United States of America,US,USA
Diving,10m platform men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/klaus-dibiasi,Klaus DIBIASI,Italy,IT,ITA
Diving,10m platform men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alvaro-gaxiola-robles,Alvaro GAXIOLA ROBLES,Mexico,MX,MEX
Diving,10m platform men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/edwin-frank-young,Edwin Frank YOUNG,United States of America,US,USA
Diving,3m springboard women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/susanne-gossick,Susanne GOSSICK,United States of America,US,USA
Diving,3m springboard women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/tamara-fedosova-pogozheva,Tamara FEDOSOVA-POGOZHEVA,Soviet Union,,URS
Diving,3m springboard women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/keala-o-sullivan,Keala O'SULLIVAN,United States of America,US,USA
Wrestling,"Welterweight, Greco-Roman (≤78 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/rudolf-vesper,Rudolf VESPER,German Democratic Republic (Germany),DDDE,GDR
Wrestling,"Welterweight, Greco-Roman (≤78 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/daniel-sauton-robin,Daniel Sauton ROBIN,France,FR,FRA
Wrestling,"Welterweight, Greco-Roman (≤78 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/karoly-bajko,Karoly BAJKO,Hungary,HU,HUN
Wrestling,"Light-Heavyweight, Freestyle (≤97 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/ahmet-ayik,Ahmet AYIK,Turkey,TR,TUR
Wrestling,"Light-Heavyweight, Freestyle (≤97 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/shota-lomidze,Shota LOMIDZE,Soviet Union,,URS
Wrestling,"Light-Heavyweight, Freestyle (≤97 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jozsef-csatari,Jozsef CSATARI,Hungary,HU,HUN
Wrestling,"Welterweight, Freestyle (≤78 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/mahmut-atalay,Mahmut ATALAY,Turkey,TR,TUR
Wrestling,"Welterweight, Freestyle (≤78 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/daniel-sauton-robin,Daniel Sauton ROBIN,France,FR,FRA
Wrestling,"Welterweight, Freestyle (≤78 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/artag-tumuryn,Artag TUMURYN,Mongolia,MN,MGL
Wrestling,"Featherweight, Greco-Roman (≤63 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/roman-rurua,Roman RURUA,Soviet Union,,URS
Wrestling,"Featherweight, Greco-Roman (≤63 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/hideo-fujimoto,Hideo FUJIMOTO,Japan,JP,JPN
Wrestling,"Featherweight, Greco-Roman (≤63 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/simion-popescu,Simion POPESCU,Romania,RO,ROU
Wrestling,"Light-Heavyweight, Greco-Roman (≤97 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/boyan-aleksandrov-radev,Boyan Aleksandrov RADEV,Bulgaria,BG,BUL
