discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Judo,open category men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/haruki-uemura,Haruki UEMURA,Japan,JP,JPN
Judo,open category men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/keith-remfry,Keith REMFRY,Great Britain,GB,GBR
Judo,open category men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/shota-chochoshvili,Shota CHOCHOSHVILI,Soviet Union,,URS
Judo,open category men,Men,BRONZE,Athlete,,,Jae-Gi Jo,Republic of Korea,KR,KOR
Judo,63  70kg halfmiddleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/vladimir-nevzorov,Vladimir NEVZOROV,Soviet Union,,URS
Judo,63  70kg halfmiddleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/koji-kuramoto,Koji KURAMOTO,Japan,JP,JPN
Judo,63  70kg halfmiddleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/patrick-vial,Patrick VIAL,France,FR,FRA
Judo,63  70kg halfmiddleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/marian-talaj,Marian TALAJ,Poland,PL,POL
Judo,80 - 93kg (half-heavyweight) men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/kazuhiro-ninomiya,Kazuhiro NINOMIYA,Japan,JP,JPN
Judo,80 - 93kg (half-heavyweight) men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ramaz-kharshiladze,Ramaz KHARSHILADZE,Soviet Union,,URS
Judo,80 - 93kg (half-heavyweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/david-colin-starbrook,David Colin STARBROOK,Great Britain,GB,GBR
Judo,80 - 93kg (half-heavyweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jurg-rothlisberger,Jürg RÖTHLISBERGER,Switzerland,CH,SUI
Judo,70  80kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/isamu-sonoda,Isamu SONODA,Japan,JP,JPN
Judo,70  80kg middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/valeri-dvoinikov,Valeri DVOINIKOV,Soviet Union,,URS
Judo,70  80kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/young-chul-park-1,Young-Chul PARK,Republic of Korea,KR,KOR
Judo,70  80kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/slavko-obadov,Slavko OBADOV,Yugoslavia,YUCS,YUG
Judo,93kg heavyweight men,Men,GOLD,Athlete,,,Serhiy Novikov,Soviet Union,,URS
Judo,93kg heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/gunther-neureuther,Günther NEUREUTHER,Federal Republic of Germany,DE,FRG
Judo,93kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sumio-endo,Sumio ENDO,Japan,JP,JPN
Judo,93kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/allen-james-coage,Allen James COAGE,United States of America,US,USA
Judo,- 63kg (lightweight) men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/hector-rodriguez-torres,Hector RODRIGUEZ TORRES,Cuba,CU,CUB
Judo,- 63kg (lightweight) men,Men,SILVER,Athlete,,,Eun-Gyeong Jang,Republic of Korea,KR,KOR
Judo,- 63kg (lightweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jozsef-tuncsik,Jozsef TUNCSIK,Hungary,HU,HUN
Judo,- 63kg (lightweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/felice-mariani,Felice MARIANI,Italy,IT,ITA
Shooting,50m rifle prone 60 shots mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/karlheinz-smieszek,Karlheinz SMIESZEK,Federal Republic of Germany,DE,FRG
Shooting,50m rifle prone 60 shots mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/ulrich-lind,Ulrich LIND,Federal Republic of Germany,DE,FRG
Shooting,50m rifle prone 60 shots mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/gennadi-lushchikov,Gennadi LUSHCHIKOV,Soviet Union,,URS
Shooting,50m running target 3030 shots mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/aleksandr-gazov,Aleksandr GAZOV,Soviet Union,,URS
Shooting,50m running target 3030 shots mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/aleksandr-kedyarov,Aleksandr KEDYAROV,Soviet Union,,URS
Shooting,50m running target 3030 shots mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/jerzy-greszkiewicz,Jerzy GRESZKIEWICZ,Poland,PL,POL
Shooting,50m pistol 60 shots mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/uwe-potteck,Uwe POTTECK,German Democratic Republic (Germany),DDDE,GDR
Shooting,50m pistol 60 shots mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/harald-vollmar,Harald VOLLMAR,German Democratic Republic (Germany),DDDE,GDR
Shooting,50m pistol 60 shots mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/rudolf-dollinger,Rudolf DOLLINGER,Austria,AT,AUT
Shooting,skeet (125 targets) mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/josef-panacek,Josef PANACEK,Czechoslovakia,CSHH,TCH
Shooting,skeet (125 targets) mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/eric-swinkels,Eric SWINKELS,Netherlands,NL,NED
Shooting,skeet (125 targets) mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/wieslaw-gawlikowski,Wieslaw GAWLIKOWSKI,Poland,PL,POL
Shooting,trap (125 targets) mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/donald-stanley-haldeman,Donald Stanley HALDEMAN,United States of America,US,USA
Shooting,trap (125 targets) mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/armando-da-silva-marques,Armando Da Silva MARQUES,Portugal,PT,POR
Shooting,trap (125 targets) mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/ubaldesco-baldi,Ubaldesco BALDI,Italy,IT,ITA
Shooting,50m rifle 3 positions 3x40 shots mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/lanny-bassham,Lanny BASSHAM,United States of America,US,USA
Shooting,50m rifle 3 positions 3x40 shots mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/margaret-thompson-murdock,Margaret THOMPSON-MURDOCK,United States of America,US,USA
Shooting,50m rifle 3 positions 3x40 shots mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/werner-seibold,Werner SEIBOLD,Federal Republic of Germany,DE,FRG
Shooting,25m rapid fire pistol 60 shots mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/norbert-klaar,Norbert KLAAR,German Democratic Republic (Germany),DDDE,GDR
Shooting,25m rapid fire pistol 60 shots mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/jurgen-wiefel,Jürgen WIEFEL,German Democratic Republic (Germany),DDDE,GDR
Shooting,25m rapid fire pistol 60 shots mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/roberto-ferraris,Roberto FERRARIS,Italy,IT,ITA
Equestrian Dressage,individual mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/christine-stuckelberger,Christine STUCKELBERGER,Switzerland,CH,SUI
Equestrian Dressage,individual mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/harry-boldt,Harry BOLDT,Federal Republic of Germany,DE,FRG
Equestrian Dressage,individual mixed,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/reiner-klimke,Reiner KLIMKE,Federal Republic of Germany,DE,FRG
Equestrian Dressage,team mixed,Open,GOLD,GameTeam,West Germany team,,,Federal Republic of Germany,DE,FRG
Equestrian Dressage,team mixed,Open,SILVER,GameTeam,Switzerland team,,,Switzerland,CH,SUI
Equestrian Dressage,team mixed,Open,BRONZE,GameTeam,United States team,,,United States of America,US,USA
Modern Pentathlon,Individual competition men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/janusz-pyciak-peciak,Janusz PYCIAK-PECIAK,Poland,PL,POL
Modern Pentathlon,Individual competition men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/pavel-lednev,Pavel LEDNEV,Soviet Union,,URS
Modern Pentathlon,Individual competition men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jan-bartu,Jan BARTU,Czechoslovakia,CSHH,TCH
Modern Pentathlon,team competition men,Men,GOLD,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Modern Pentathlon,team competition men,Men,SILVER,GameTeam,Czechoslovakia team,,,Czechoslovakia,CSHH,TCH
Modern Pentathlon,team competition men,Men,BRONZE,GameTeam,Hungary team,,,Hungary,HU,HUN
Basketball,basketball women,Women,GOLD,GameTeam,Soviet Union team,,,Soviet Union,,URS
Basketball,basketball women,Women,SILVER,GameTeam,United States team,,,United States of America,US,USA
Basketball,basketball women,Women,BRONZE,GameTeam,Bulgaria team,,,Bulgaria,BG,BUL
Basketball,basketball men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Basketball,basketball men,Men,SILVER,GameTeam,Yugoslavia team,,,Yugoslavia,YUCS,YUG
Basketball,basketball men,Men,BRONZE,GameTeam,Soviet Union team,,,Soviet Union,,URS
Archery,individual FITA round women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/luann-marie-ryon,Luann Marie RYON,United States of America,US,USA
Archery,individual FITA round women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/valentina-kovpan,Valentina KOVPAN,Soviet Union,,URS
Archery,individual FITA round women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/zebiniso-rustamova,Zebiniso RUSTAMOVA,Soviet Union,,URS
Archery,individual FITA round men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/darrell-owen-pace,Darrell Owen PACE,United States of America,US,USA
Archery,individual FITA round men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/hiroshi-michinaga,Hiroshi MICHINAGA,Japan,JP,JPN
Archery,individual FITA round men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/giancarlo-ferrari,Giancarlo FERRARI,Italy,IT,ITA
Weightlifting,56kg bantamweight men,Men,GOLD,Athlete,,,Norayr Nurikyan,Bulgaria,BG,BUL
Weightlifting,56kg bantamweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/grzegorz-cziura,Grzegorz CZIURA,Poland,PL,POL
Weightlifting,56kg bantamweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/kenkichi-ando,Kenkichi ANDO,Japan,JP,JPN
