discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Handball,handball men,Men,GOLD,GameTeam,East Germany team,,,German Democratic Republic (Germany),DDDE,GDR
Handball,handball men,Men,SILVER,GameTeam,Soviet Union team,,,Soviet Union,,URS
Handball,handball men,Men,BRONZE,GameTeam,Romania team,,,Romania,RO,ROU
Handball,handball women,Women,GOLD,GameTeam,Soviet Union team,,,Soviet Union,,URS
Handball,handball women,Women,SILVER,GameTeam,Yugoslavia team,,,Yugoslavia,YUCS,YUG
Handball,handball women,Women,BRONZE,GameTeam,East Germany team,,,German Democratic Republic (Germany),DDDE,GDR
Weightlifting,110kg super heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sultan-rakhmanov,Sultan RAKHMANOV,Soviet Union,,URS
Weightlifting,110kg super heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/jurgen-heuser,Jürgen HEUSER,German Democratic Republic (Germany),DDDE,GDR
Weightlifting,110kg super heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/tadeusz-rutkowski,Tadeusz RUTKOWSKI,Poland,PL,POL
Weightlifting,90 - 100kg (first-heavyweight) men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ota-zaremba,Ota ZAREMBA,Czechoslovakia,CSHH,TCH
Weightlifting,90 - 100kg (first-heavyweight) men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/igor-nikitin,Igor NIKITIN,Soviet Union,,URS
Weightlifting,90 - 100kg (first-heavyweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alberto-blanco-fernandez,Alberto BLANCO FERNANDEZ,Cuba,CU,CUB
Weightlifting,"67.5 - 75kg, (middleweight) men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/asen-zlatev,Asen ZLATEV,Bulgaria,BG,BUL
Weightlifting,"67.5 - 75kg, (middleweight) men",Men,SILVER,Athlete,,,Oleksandr Perviy,Soviet Union,,URS
Weightlifting,"67.5 - 75kg, (middleweight) men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/nedelcho-kolev,Nedelcho KOLEV,Bulgaria,BG,BUL
Weightlifting,56 - 60kg (featherweight) men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/viktor-mazin,Viktor MAZIN,Soviet Union,,URS
Weightlifting,56 - 60kg (featherweight) men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/stefan-dimitrov-1,Stefan DIMITROV,Bulgaria,BG,BUL
Weightlifting,56 - 60kg (featherweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/marek-seweryn,Marek SEWERYN,Poland,PL,POL
Weightlifting,52kg flyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/kanybek-osmonaliev,Kanybek OSMONALIEV,Soviet Union,,URS
Weightlifting,52kg flyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/bong-chol-ho,Bong Chol HO,Democratic People's Republic of Korea,KP,PRK
Weightlifting,52kg flyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gyong-si-han,Gyong Si HAN,Democratic People's Republic of Korea,KP,PRK
Weightlifting,825  90kg middleheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/peter-baczako,Peter BACZAKO,Hungary,HU,HUN
Weightlifting,825  90kg middleheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/rumen-aleksandrov,Rumen ALEKSANDROV,Bulgaria,BG,BUL
Weightlifting,825  90kg middleheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/frank-mantek,Frank MANTEK,German Democratic Republic (Germany),DDDE,GDR
Weightlifting,75  825kg lightheavyweight men,Men,GOLD,Athlete,,,Yuri Vardanyan,Soviet Union,,URS
Weightlifting,75  825kg lightheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/blagoi-blagoev,Blagoi BLAGOEV,Bulgaria,BG,BUL
Weightlifting,75  825kg lightheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dusan-poliacik,Dusan POLIACIK,Czechoslovakia,CSHH,TCH
Weightlifting,100  110kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/leonid-taranenko,Leonid TARANENKO,Soviet Union,,URS
Weightlifting,100  110kg heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/valentin-christov,Valentin CHRISTOV,Bulgaria,BG,BUL
Weightlifting,100  110kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gyorgy-szalai,György SZALAI,Hungary,HU,HUN
Weightlifting,56kg bantamweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/daniel-nunez-aguiar,Daniel NUNEZ AGUIAR,Cuba,CU,CUB
Weightlifting,56kg bantamweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yurik-sarkisian,Yurik SARKISIAN,Soviet Union,,URS
Weightlifting,56kg bantamweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/tadeusz-dembonczyk,Tadeusz DEMBONCZYK,Poland,PL,POL
Weightlifting,60-67.5kg lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/yanko-rusev,Yanko RUSEV,Bulgaria,BG,BUL
Weightlifting,60-67.5kg lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/joachim-kunz,Joachim KUNZ,German Democratic Republic (Germany),DDDE,GDR
Weightlifting,60-67.5kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/mincho-pashev,Mincho PASHEV,Bulgaria,BG,BUL
Judo,95kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/angelo-parisi,Angelo PARISI,France,FR,FRA
Judo,95kg heavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/dimitar-zaprianov,Dimitar ZAPRIANOV,Bulgaria,BG,BUL
Judo,95kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vladimir-kocman,Vladimir KOCMAN,Czechoslovakia,CSHH,TCH
Judo,95kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/radomir-kovacevic,Radomir KOVACEVIC,Yugoslavia,YUCS,YUG
Judo,78  86kg middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/jurg-rothlisberger,Jürg RÖTHLISBERGER,Switzerland,CH,SUI
Judo,78  86kg middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/isaac-azcuy-oliva,Isaac AZCUY OLIVA,Cuba,CU,CUB
Judo,78  86kg middleweight men,Men,BRONZE,Athlete,,,Aleksandrs Jackēvičs,Soviet Union,,URS
Judo,78  86kg middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/detlef-ultsch,Detlef ULTSCH,German Democratic Republic (Germany),DDDE,GDR
Judo,86  95kg halfheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/robert-van-de-walle,Robert VAN DE WALLE,Belgium,BE,BEL
Judo,86  95kg halfheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tengiz-khubuluri,Tengiz KHUBULURI,Soviet Union,,URS
Judo,86  95kg halfheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dietmar-lorenz,Dietmar LORENZ,German Democratic Republic (Germany),DDDE,GDR
Judo,86  95kg halfheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henk-numan,Henk NUMAN,Netherlands,NL,NED
Judo,open category men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/dietmar-lorenz,Dietmar LORENZ,German Democratic Republic (Germany),DDDE,GDR
