discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Canoe Sprint,K1 1000m kayak single men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/aleksandr-shaparenko,Aleksandr SHAPARENKO,Soviet Union,,URS
Canoe Sprint,K1 1000m kayak single men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/rolf-peterson,Rolf PETERSON,Sweden,SE,SWE
Canoe Sprint,K1 1000m kayak single men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/geza-csapo,Geza CSAPO,Hungary,HU,HUN
Canoe Sprint,K2 1000m kayak double men,Men,GOLD,GameTeam,Soviet Union team,,Nikolay Gorbachov,Soviet Union,,URS
Canoe Sprint,K2 1000m kayak double men,Men,GOLD,GameTeam,Soviet Union team,,Vikt'or K'rat'asiuk'i,Soviet Union,,URS
Canoe Sprint,K2 1000m kayak double men,Men,SILVER,GameTeam,Hungary team,https://olympics.com/en/athletes/jozsef-deme,Jozsef DEME,Hungary,HU,HUN
Canoe Sprint,K2 1000m kayak double men,Men,SILVER,GameTeam,Hungary team,https://olympics.com/en/athletes/janos-ratkai,Janos RATKAI,Hungary,HU,HUN
Canoe Sprint,K2 1000m kayak double men,Men,BRONZE,GameTeam,Poland team,https://olympics.com/en/athletes/wladyslaw-szuszkiewicz,Wladyslaw SZUSZKIEWICZ,Poland,PL,POL
Canoe Sprint,K2 1000m kayak double men,Men,BRONZE,GameTeam,Poland team,https://olympics.com/en/athletes/rafal-maciej-piszcz,Rafal Maciej PISZCZ,Poland,PL,POL
Canoe Sprint,C2 1000m canoe double men,Men,GOLD,GameTeam,Soviet Union team,,Vladas Česiūnas,Soviet Union,,URS
Canoe Sprint,C2 1000m canoe double men,Men,GOLD,GameTeam,Soviet Union team,https://olympics.com/en/athletes/yuri-lobanov,Yuri LOBANOV,Soviet Union,,URS
Canoe Sprint,C2 1000m canoe double men,Men,SILVER,GameTeam,Romania team,https://olympics.com/en/athletes/ivan-patzaichin,Ivan PATZAICHIN,Romania,RO,ROU
Canoe Sprint,C2 1000m canoe double men,Men,SILVER,GameTeam,Romania team,https://olympics.com/en/athletes/serghei-covaliov,Serghei COVALIOV,Romania,RO,ROU
