discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Fencing,paris-1924,Paris,France,Europe,foil team men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Fencing,paris-1924,Paris,France,Europe,foil team men,Men,SILVER,GameTeam,Belgium team,,,Belgium,BE,BEL
Fencing,paris-1924,Paris,France,Europe,foil team men,Men,BRONZE,GameTeam,Hungary team,,,Hungary,HU,HUN
Fencing,paris-1924,Paris,France,Europe,épée individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/charles-delporte-1,Charles DELPORTE,Belgium,BE,BEL
Fencing,paris-1924,Paris,France,Europe,épée individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/roger-francois-ducret,Roger François DUCRET,France,FR,FRA
Fencing,paris-1924,Paris,France,Europe,épée individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/nils-erik-hellsten,Nils Erik HELLSTEN,Sweden,SE,SWE
Fencing,paris-1924,Paris,France,Europe,sabre team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,paris-1924,Paris,France,Europe,sabre team men,Men,SILVER,GameTeam,Hungary team,,,Hungary,HU,HUN
Fencing,paris-1924,Paris,France,Europe,sabre team men,Men,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
Fencing,paris-1924,Paris,France,Europe,foil individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/roger-francois-ducret,Roger François DUCRET,France,FR,FRA
Fencing,paris-1924,Paris,France,Europe,foil individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/philippe-cattiau,Philippe CATTIAU,France,FR,FRA
Fencing,paris-1924,Paris,France,Europe,foil individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/maurice-e-van-damme,Maurice E. VAN DAMME,Belgium,BE,BEL
Fencing,paris-1924,Paris,France,Europe,épée team men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Fencing,paris-1924,Paris,France,Europe,épée team men,Men,SILVER,GameTeam,Belgium team,,,Belgium,BE,BEL
Fencing,paris-1924,Paris,France,Europe,épée team men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
Fencing,paris-1924,Paris,France,Europe,foil individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ellen-ottilia-osiier,Ellen Ottilia OSIIER,Denmark,DK,DEN
Fencing,paris-1924,Paris,France,Europe,foil individual women,Women,SILVER,Athlete,,,Gladys Davis,Great Britain,GB,GBR
Fencing,paris-1924,Paris,France,Europe,foil individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/grete-heckscher,Grete HECKSCHER,Denmark,DK,DEN
