discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Cycling BMX,Individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/mariana-pajon,Mariana PAJÓN,Colombia,CO,COL
Cycling BMX,Individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/alise-post,Alise POST,United States of America,US,USA
Cycling BMX,Individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/stefany-hernandez,Stefany HERNANDEZ,Venezuela,VE,VEN
Cycling BMX,Individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/connor-fields,Connor FIELDS,United States of America,US,USA
Cycling BMX,Individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/jelle-van-gorkom,Jelle VAN GORKOM,Netherlands,NL,NED
Cycling BMX,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/carlos-alberto-ramirez-yepes,Carlos Alberto RAMIREZ YEPES,Colombia,CO,COL
Golf,Individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/justin-rose,Justin ROSE,Great Britain,GB,GBR
Golf,Individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/henrik-stenson,Henrik STENSON,Sweden,SE,SWE
Golf,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/matt-kuchar,Matt KUCHAR,United States of America,US,USA
Golf,Individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/inbee-park,Inbee PARK,Republic of Korea,KR,KOR
Golf,Individual women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/lydia-ko,Lydia KO,New Zealand,NZ,NZL
Golf,Individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/shanshan-feng,Shanshan FENG,People's Republic of China,CN,CHN
Basketball,basketball men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Basketball,basketball men,Men,SILVER,GameTeam,Serbia team,,,Serbia,RS,SRB
Basketball,basketball men,Men,BRONZE,GameTeam,Spain team,,,Spain,ES,ESP
Basketball,basketball women,Women,GOLD,GameTeam,United States team,,,United States of America,US,USA
Basketball,basketball women,Women,SILVER,GameTeam,Spain team,,,Spain,ES,ESP
Basketball,basketball women,Women,BRONZE,GameTeam,Serbia team,,,Serbia,RS,SRB
Rugby,rugby-7 men,Men,GOLD,GameTeam,Fiji team,,,Fiji,FJ,FIJ
Rugby,rugby-7 men,Men,SILVER,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Rugby,rugby-7 men,Men,BRONZE,GameTeam,South Africa team,,,South Africa,ZA,RSA
Rugby,rugby-7 women,Women,GOLD,GameTeam,Australia team,,,Australia,AU,AUS
Rugby,rugby-7 women,Women,SILVER,GameTeam,New Zealand team,,,New Zealand,NZ,NZL
Rugby,rugby-7 women,Women,BRONZE,GameTeam,Canada team,,,Canada,CA,CAN
Gymnastics Rhythmic,Group All-Around women,Women,GOLD,GameTeam,Russian Federation team,,,Russian Federation,RU,RUS
Gymnastics Rhythmic,Group All-Around women,Women,SILVER,GameTeam,Spain team,,,Spain,ES,ESP
