discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Football,football men,Men,GOLD,GameTeam,Yugoslavia team,,,Yugoslavia,YUCS,YUG
Football,football men,Men,SILVER,GameTeam,Denmark team,,,Denmark,DK,DEN
Football,football men,Men,BRONZE,GameTeam,Hungary team,,,Hungary,HU,HUN
Equestrian Eventing,team mixed,Men,GOLD,GameTeam,Australia team,,,Australia,AU,AUS
Equestrian Eventing,team mixed,Men,SILVER,GameTeam,Switzerland team,,,Switzerland,CH,SUI
Equestrian Eventing,team mixed,Men,BRONZE,GameTeam,France team,,,France,FR,FRA
Equestrian Eventing,individual mixed,Men,GOLD,Athlete,,,Laurie Morgan,Australia,AU,AUS
Equestrian Eventing,individual mixed,Men,SILVER,Athlete,,https://olympics.com/en/athletes/neil-john-lavis,Neil John LAVIS,Australia,AU,AUS
Equestrian Eventing,individual mixed,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/anton-buhler,Anton BÜHLER,Switzerland,CH,SUI
Shooting,trap 125 targets men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ion-dumitrescu,Ion DUMITRESCU,Romania,RO,ROU
Shooting,trap 125 targets men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/galliano-rossini,Galliano ROSSINI,Italy,IT,ITA
Shooting,trap 125 targets men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sergei-kalinin-1,Sergei KALININ,Soviet Union,,URS
Shooting,300m free rifle 3 positions 3 men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/hubert-hammerer,Hubert HAMMERER,Austria,AT,AUT
Shooting,300m free rifle 3 positions 3 men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/hansrudi-spillmann,Hansrudi SPILLMANN,Switzerland,CH,SUI
Shooting,300m free rifle 3 positions 3 men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vasily-borisov,Vasily BORISOV,Soviet Union,,URS
Shooting,50m rifle prone 60 shots men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/peter-kohnke,Peter KOHNKE,Germany,DE,GER
Shooting,50m rifle prone 60 shots men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/james-enoch-hill,James Enoch HILL,United States of America,US,USA
