discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Synchronized Swimming,Duet Women,Women,GOLD,GameTeam,Canada team,https://olympics.com/en/athletes/michelle-cameron,Michelle CAMERON,Canada,CA,CAN
Synchronized Swimming,Duet Women,Women,GOLD,GameTeam,Canada team,https://olympics.com/en/athletes/carolyn-waldo,Carolyn WALDO,Canada,CA,CAN
Synchronized Swimming,Duet Women,Women,SILVER,GameTeam,United States team,https://olympics.com/en/athletes/sarah-josephson,Sarah JOSEPHSON,United States of America,US,USA
Synchronized Swimming,Duet Women,Women,SILVER,GameTeam,United States team,https://olympics.com/en/athletes/karen-josephson,Karen JOSEPHSON,United States of America,US,USA
Synchronized Swimming,Duet Women,Women,BRONZE,GameTeam,Japan team,https://olympics.com/en/athletes/miyako-tanaka,Miyako TANAKA,Japan,JP,JPN
Synchronized Swimming,Duet Women,Women,BRONZE,GameTeam,Japan team,https://olympics.com/en/athletes/mikako-kotani,Mikako KOTANI,Japan,JP,JPN
Synchronized Swimming,solo women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/carolyn-waldo,Carolyn WALDO,Canada,CA,CAN
Synchronized Swimming,solo women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/tracie-lehuanani-ruiz-conforto,Tracie Lehuanani RUIZ-CONFORTO,United States of America,US,USA
Synchronized Swimming,solo women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/mikako-kotani,Mikako KOTANI,Japan,JP,JPN
Hockey,hockey women,Women,GOLD,GameTeam,Australia team,,,Australia,AU,AUS
Hockey,hockey women,Women,SILVER,GameTeam,Republic of Korea team,,,Republic of Korea,KR,KOR
Hockey,hockey women,Women,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
Hockey,hockey men,Men,GOLD,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Hockey,hockey men,Men,SILVER,GameTeam,West Germany team,,,Federal Republic of Germany,DE,FRG
Hockey,hockey men,Men,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
Athletics,javelin throw men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/tapio-korjus,Tapio KORJUS,Finland,FI,FIN
Athletics,javelin throw men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/jan-zelezny,Jan ŽELEZNÝ,Czechoslovakia,CSHH,TCH
Athletics,javelin throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/seppo-henrik-raty,Seppo Henrik RATY,Finland,FI,FIN
Athletics,1500m women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/paula-ivan,Paula IVAN,Romania,RO,ROU
Athletics,1500m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/lailute-baikauskaite,Lailute BAIKAUSKAITE,Soviet Union,,URS
Athletics,1500m women,Women,BRONZE,Athlete,,,Tetiana Samolenko-Dorovskykh,Soviet Union,,URS
Athletics,heptathlon women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/jackie-joyner-kersee,Jackie JOYNER-KERSEE,United States of America,US,USA
Athletics,heptathlon women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/sabine-john,Sabine JOHN,German Democratic Republic (Germany),DDDE,GDR
Athletics,heptathlon women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/anke-behmer,Anke BEHMER,German Democratic Republic (Germany),DDDE,GDR
Athletics,high jump women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/dorothy-louise-ritter,Dorothy Louise RITTER,United States of America,US,USA
Athletics,high jump women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/stefka-kostadinova,Stefka KOSTADINOVA,Bulgaria,BG,BUL
Athletics,high jump women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tamara-bykova,Tamara BYKOVA,Soviet Union,,URS
Athletics,800m women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/sigrun-grau,Sigrun GRAU,German Democratic Republic (Germany),DDDE,GDR
Athletics,800m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/christine-wachtel,Christine WACHTEL,German Democratic Republic (Germany),DDDE,GDR
Athletics,800m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kimberley-ann-gallagher,Kimberley Ann GALLAGHER,United States of America,US,USA
Athletics,400m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/steve-lewis-1,Steve LEWIS,United States of America,US,USA
Athletics,400m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/harry-butch-reynolds,Harry Butch . REYNOLDS,United States of America,US,USA
Athletics,400m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/daniel-everett,Daniel EVERETT,United States of America,US,USA
Athletics,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/carl-lewis,Carl LEWIS,United States of America,US,USA
Athletics,long jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/michael-anthony-powell,Michael Anthony POWELL,United States of America,US,USA
Athletics,long jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lawrence-ellwyne-myricks,Lawrence Ellwyne MYRICKS,United States of America,US,USA
Athletics,400m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/andre-lamar-phillips,Andre Lamar PHILLIPS,United States of America,US,USA
Athletics,400m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/el-hadji-amadou-dia-ba,El Hadji Amadou DIA BA,Senegal,SN,SEN
Athletics,400m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/edwin-moses,Edwin MOSES,United States of America,US,USA
Athletics,800m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/paul-ereng,Paul ERENG,Kenya,KE,KEN
Athletics,800m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/joaquim-cruz-1,Joaquim CRUZ,Brazil,BR,BRA
Athletics,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/said-aouita,Said AOUITA,Morocco,MA,MAR
Athletics,200m women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/florence-griffith-joyner,Florence GRIFFITH-JOYNER,United States of America,US,USA
Athletics,200m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/grace-jackson-small,Grace JACKSON SMALL,Jamaica,JM,JAM
Athletics,200m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/heike-drechsler,Heike DRECHSLER,German Democratic Republic (Germany),DDDE,GDR
Athletics,marathon men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/gelindo-bordin,Gelindo BORDIN,Italy,IT,ITA
Athletics,marathon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/douglas-wakiihuri,Douglas WAKIIHURI,Kenya,KE,KEN
Athletics,marathon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/hussein-ahmed-salah,Hussein AHMED SALAH,Djibouti,DJ,DJI
Athletics,100m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/carl-lewis,Carl LEWIS,United States of America,US,USA
Athletics,100m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/linford-christie,Linford CHRISTIE,Great Britain,GB,GBR
Athletics,100m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/calvin-smith-1,Calvin SMITH,United States of America,US,USA
Athletics,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sergii-bubka,Sergii BUBKA,Soviet Union,,URS
Athletics,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/rodion-gataullin,Rodion GATAULLIN,Soviet Union,,URS
Athletics,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/grigoriy-yegorov,Grigoriy YEGOROV,Soviet Union,,URS
Athletics,4x400m relay women,Women,GOLD,GameTeam,Soviet Union team,,,Soviet Union,,URS
Athletics,4x400m relay women,Women,SILVER,GameTeam,United States team,,,United States of America,US,USA
Athletics,4x400m relay women,Women,BRONZE,GameTeam,East Germany team,,,German Democratic Republic (Germany),DDDE,GDR
Athletics,100m women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/florence-griffith-joyner,Florence GRIFFITH-JOYNER,United States of America,US,USA
Athletics,100m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/evelyn-ashford,Evelyn ASHFORD,United States of America,US,USA
Athletics,100m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/heike-drechsler,Heike DRECHSLER,German Democratic Republic (Germany),DDDE,GDR
Athletics,50km walk men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/vyacheslav-ivanenko,Vyacheslav IVANENKO,Soviet Union,,URS
Athletics,50km walk men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ronald-weigel-1,Ronald WEIGEL,German Democratic Republic (Germany),DDDE,GDR
Athletics,50km walk men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/hartwig-gauder,Hartwig GAUDER,German Democratic Republic (Germany),DDDE,GDR
Athletics,decathlon men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/christian-schenk,Christian SCHENK,German Democratic Republic (Germany),DDDE,GDR
Athletics,decathlon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/torsten-voss,Torsten VOSS,German Democratic Republic (Germany),DDDE,GDR
Athletics,decathlon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/david-steen,David STEEN,Canada,CA,CAN
Athletics,400m hurdles women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/deborah-flintoff-king,Deborah FLINTOFF-KING,Australia,AU,AUS
Athletics,400m hurdles women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/tatiana-ledovskaya,Tatiana LEDOVSKAYA,Soviet Union,,URS
Athletics,400m hurdles women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/ellen-fiedler,Ellen FIEDLER,German Democratic Republic (Germany),DDDE,GDR
Athletics,shot put men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ulf-timmermann,Ulf TIMMERMANN,German Democratic Republic (Germany),DDDE,GDR
Athletics,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/eric-randolph-barnes,Eric Randolph BARNES,United States of America,US,USA
Athletics,shot put men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/werner-gunthor,Werner GÜNTHÖR,Switzerland,CH,SUI
Athletics,400m women,Women,GOLD,Athlete,,,Olha Bryzhina,Soviet Union,,URS
Athletics,400m women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/petra-muller,Petra MÜLLER,German Democratic Republic (Germany),DDDE,GDR
Athletics,400m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/olga-nazarova-1,Olga NAZAROVA,Soviet Union,,URS
Athletics,4x100m relay men,Men,GOLD,GameTeam,Soviet Union team,,,Soviet Union,,URS
