discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Athletics,st-louis-1904,St. Louis,United States,America,4miles team men,Men,GOLD,GameTeam,New York Athletic Club,,,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,4miles team men,Men,SILVER,GameTeam,Chicago Athletic Association,,,MIX,,MIX
Athletics,st-louis-1904,St. Louis,United States,America,100m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/archie-hahn,Archie HAHN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,100m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-nathaniel-cartmell,John Nathaniel CARTMELL,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,100m men,Men,BRONZE,Athlete,,,Bill Hogenson,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,800m men,Men,GOLD,Athlete,,,Jim Lightbody,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,800m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/howard-valentine,Howard VALENTINE,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/emil-breitkreutz,Emil BREITKREUTZ,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/charles-dvorak,Charles DVORAK,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/leroy-samse,Leroy SAMSE,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/louis-wilkins,Louis WILKINS,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/archie-hahn,Archie HAHN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-nathaniel-cartmell,John Nathaniel CARTMELL,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m men,Men,BRONZE,Athlete,,,Bill Hogenson,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/harry-hillman,Harry HILLMAN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/frank-castleman,Frank CASTLEMAN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,200m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-poage,George POAGE,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,400m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/harry-hillman,Harry HILLMAN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,400m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/frank-waller,Frank WALLER,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,400m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-poage,George POAGE,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,110m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/frederick-schule,Frederick SCHULE,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,110m hurdles men,Men,SILVER,Athlete,,,Thad Shideler,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,110m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lesley-ashburner,Lesley ASHBURNER,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,high jump men,Men,GOLD,Athlete,,,Sam Jones,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,high jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/garrett-serviss,Garrett SERVISS,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,high jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/paul-weinstein,Paul WEINSTEIN,Germany,DE,GER
Athletics,st-louis-1904,St. Louis,United States,America,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/meyer-prinstein,Meyer PRINSTEIN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,long jump men,Men,SILVER,Athlete,,,Dan Frank,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,long jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/robert-stangland,Robert STANGLAND,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,400m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/harry-hillman,Harry HILLMAN,United States of America,US,USA
Athletics,st-louis-1904,St. Louis,United States,America,400m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/frank-waller,Frank WALLER,United States of America,US,USA
