discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Tennis,mixed doubles indoor mixed,Mixed,GOLD,GameTeam,Great Britain team #2,https://olympics.com/en/athletes/edith-margaret-hannam,Edith Margaret HANNAM,Great Britain,GB,GBR
Tennis,mixed doubles indoor mixed,Mixed,GOLD,GameTeam,Great Britain team #2,https://olympics.com/en/athletes/charles-percy-dixon,Charles Percy DIXON,Great Britain,GB,GBR
Tennis,mixed doubles indoor mixed,Mixed,SILVER,GameTeam,Great Britain team #1,https://olympics.com/en/athletes/francis-helen-aitchison,Francis Helen AITCHISON,Great Britain,GB,GBR
Tennis,mixed doubles indoor mixed,Mixed,SILVER,GameTeam,Great Britain team #1,https://olympics.com/en/athletes/herbert-roper-barrett,Herbert Roper BARRETT,Great Britain,GB,GBR
Tennis,mixed doubles indoor mixed,Mixed,BRONZE,GameTeam,Sweden team #3,https://olympics.com/en/athletes/sigrid-fick,Sigrid FICK,Sweden,SE,SWE
Tennis,mixed doubles indoor mixed,Mixed,BRONZE,GameTeam,Sweden team #3,https://olympics.com/en/athletes/gunnar-setterwall,Gunnar SETTERWALL,Sweden,SE,SWE
Tennis,doubles indoor men,Men,GOLD,GameTeam,France team,https://olympics.com/en/athletes/andre-henri-gobert,André Henri GOBERT,France,FR,FRA
Tennis,doubles indoor men,Men,GOLD,GameTeam,France team,https://olympics.com/en/athletes/maurice-germot,Maurice GERMOT,France,FR,FRA
Tennis,doubles indoor men,Men,SILVER,GameTeam,Sweden team #2,https://olympics.com/en/athletes/gunnar-setterwall,Gunnar SETTERWALL,Sweden,SE,SWE
Tennis,doubles indoor men,Men,SILVER,GameTeam,Sweden team #2,https://olympics.com/en/athletes/carl-kempe,Carl KEMPE,Sweden,SE,SWE
Tennis,doubles indoor men,Men,BRONZE,GameTeam,Great Britain team #2,https://olympics.com/en/athletes/charles-percy-dixon,Charles Percy DIXON,Great Britain,GB,GBR
