discipline_title	slug_game	city_host	country_host	continent_host	event_title	event_gender	medal_type	participant_type	participant_title	athlete_url	athlete_full_name	country_name	country_code	country_3_letter_code
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	GOLD	GameTeam	Great Britain team #2	https://olympics.com/en/athletes/edith-margaret-hannam	Edith Margaret HANNAM	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	GOLD	GameTeam	Great Britain team #2	https://olympics.com/en/athletes/charles-percy-dixon	Charles Percy DIXON	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	SILVER	GameTeam	Great Britain team #1	https://olympics.com/en/athletes/francis-helen-aitchison	Francis Helen AITCHISON	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	SILVER	GameTeam	Great Britain team #1	https://olympics.com/en/athletes/herbert-roper-barrett	Herbert Roper BARRETT	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	BRONZE	GameTeam	Sweden team #3	https://olympics.com/en/athletes/sigrid-fick	Sigrid FICK	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles indoor mixed	Mixed	BRONZE	GameTeam	Sweden team #3	https://olympics.com/en/athletes/gunnar-setterwall	Gunnar SETTERWALL	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	GOLD	GameTeam	France team	https://olympics.com/en/athletes/andre-henri-gobert	André Henri GOBERT	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	GOLD	GameTeam	France team	https://olympics.com/en/athletes/maurice-germot	Maurice GERMOT	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	SILVER	GameTeam	Sweden team #2	https://olympics.com/en/athletes/gunnar-setterwall	Gunnar SETTERWALL	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	SILVER	GameTeam	Sweden team #2	https://olympics.com/en/athletes/carl-kempe	Carl KEMPE	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	BRONZE	GameTeam	Great Britain team #2	https://olympics.com/en/athletes/charles-percy-dixon	Charles Percy DIXON	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles indoor men	Men	BRONZE	GameTeam	Great Britain team #2	https://olympics.com/en/athletes/alfred-ernest-beamish	Alfred Ernest BEAMISH	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	GOLD	GameTeam	Germany team	https://olympics.com/en/athletes/dora-koring	Dora KÖRING	Germany	DE	GER
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	GOLD	GameTeam	Germany team	https://olympics.com/en/athletes/heinrich-schomburgk	Heinrich SCHOMBURGK	Germany	DE	GER
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	SILVER	GameTeam	Sweden team #1	https://olympics.com/en/athletes/sigrid-fick	Sigrid FICK	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	SILVER	GameTeam	Sweden team #1	https://olympics.com/en/athletes/gunnar-setterwall	Gunnar SETTERWALL	Sweden	SE	SWE
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	BRONZE	GameTeam	France team	https://olympics.com/en/athletes/marguerite-broquedis	Marguerite BROQUEDIS	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	mixed doubles mixed	Mixed	BRONZE	GameTeam	France team	https://olympics.com/en/athletes/albert-henri-canet	Albert Henri CANET	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	singles indoor men	Men	GOLD	Athlete		https://olympics.com/en/athletes/andre-henri-gobert	André Henri GOBERT	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	singles indoor men	Men	SILVER	Athlete		https://olympics.com/en/athletes/charles-percy-dixon	Charles Percy DIXON	Great Britain	GB	GBR
Tennis	stockholm-1912	Stockholm	Sweden	Europe	singles indoor men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/anthony-frederick-wilding	Anthony Frederick WILDING	Australasia		ANZ
