discipline_title	event_title	event_gender	medal_type	participant_type	participant_title	athlete_url	athlete_full_name	country_name	country_code	country_3_letter_code
Judo	Sydney 2000 Judo - 60 kg men	Men	GOLD	Athlete		https://olympics.com/en/athletes/tadahiro-nomura	Tadahiro NOMURA	Japan	JP	JPN
Judo	Sydney 2000 Judo - 60 kg men	Men	SILVER	Athlete			Bu-Gyeong Jeong	Republic of Korea	KR	KOR
Judo	Sydney 2000 Judo - 60 kg men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/aidyn-smagulov	Aidyn SMAGULOV	Kyrgyzstan	KG	KGZ
Judo	Sydney 2000 Judo - 60 kg men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/manolo-poulot-ramos	Manolo POULOT RAMOS	Cuba	CU	CUB
Judo	66  73kg lightweight men	Men	GOLD	Athlete		https://olympics.com/en/athletes/giuseppe-maddaloni	Giuseppe MADDALONI	Italy	IT	ITA
Judo	66  73kg lightweight men	Men	SILVER	Athlete		https://olympics.com/en/athletes/tiago-camilo	Tiago CAMILO	Brazil	BR	BRA
Judo	66  73kg lightweight men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/anatoly-laryukov	Anatoly LARYUKOV	Belarus	BY	BLR
Judo	66  73kg lightweight men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/vsevolods-zelonijs	Vsevolods ZELONIJS	Latvia	LV	LAT
Judo	60  66kg halflightweight men	Men	GOLD	Athlete		https://olympics.com/en/athletes/huseyin-ozkan	Huseyin OZKAN	Turkey	TR	TUR
Judo	60  66kg halflightweight men	Men	SILVER	Athlete		https://olympics.com/en/athletes/larbi-benboudaoud	Larbi BENBOUDAOUD	France	FR	FRA
Judo	60  66kg halflightweight men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/georgios-vazagkasvili	Georgios VAZAGKASVILI	Georgia	GE	GEO
Judo	60  66kg halflightweight men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/girolamo-giovinazzo	Girolamo GIOVINAZZO	Italy	IT	ITA
