discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Hockey,hockey men,Men,GOLD,GameTeam,India team,,,India,IN,IND
Hockey,hockey men,Men,SILVER,GameTeam,Pakistan team,,,Pakistan,PK,PAK
Hockey,hockey men,Men,BRONZE,GameTeam,Australia team,,,Australia,AU,AUS
Modern Pentathlon,team competition men,Men,GOLD,GameTeam,Soviet Union team,,,Soviet Union,,URS
Modern Pentathlon,team competition men,Men,SILVER,GameTeam,United States team,,,United States of America,US,USA
Modern Pentathlon,team competition men,Men,BRONZE,GameTeam,Hungary team,,,Hungary,HU,HUN
Modern Pentathlon,Individual competition men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ferenc-torok,Ferenc TÖRÖK,Hungary,HU,HUN
Modern Pentathlon,Individual competition men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/igor-novikov,Igor NOVIKOV,Soviet Union,,URS
Modern Pentathlon,Individual competition men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/albert-mokeev,Albert MOKEEV,Soviet Union,,URS
Sailing,flying dutchman mixed,Open,GOLD,GameTeam,Pandora,https://olympics.com/en/athletes/earle-leonard-wells,Earle Leonard WELLS,New Zealand,NZ,NZL
Sailing,flying dutchman mixed,Open,GOLD,GameTeam,Pandora,https://olympics.com/en/athletes/helmer-orlaf-l-pedersen,Helmer Orlaf L. PEDERSEN,New Zealand,NZ,NZL
Sailing,flying dutchman mixed,Open,SILVER,GameTeam,Lady C,https://olympics.com/en/athletes/franklyn-keith-musto,Franklyn Keith MUSTO,Great Britain,GB,GBR
Sailing,flying dutchman mixed,Open,SILVER,GameTeam,Lady C,https://olympics.com/en/athletes/anthony-william-crawfort-morgan,Anthony William Crawfort MORGAN,Great Britain,GB,GBR
Sailing,flying dutchman mixed,Open,BRONZE,GameTeam,Widgeon,,"Buddy Melges, Jr.",United States of America,US,USA
Sailing,flying dutchman mixed,Open,BRONZE,GameTeam,Widgeon,https://olympics.com/en/athletes/william-bruce-bentsen,William Bruce BENTSEN,United States of America,US,USA
Sailing,twoperson keelboat open Star mixed,Open,GOLD,GameTeam,Gem,https://olympics.com/en/athletes/durward-randolph-knowles,Durward Randolph KNOWLES,Bahamas,BS,BAH
Sailing,twoperson keelboat open Star mixed,Open,GOLD,GameTeam,Gem,https://olympics.com/en/athletes/cecil-george-cooke,Cecil George COOKE,Bahamas,BS,BAH
Sailing,twoperson keelboat open Star mixed,Open,SILVER,GameTeam,Glider,https://olympics.com/en/athletes/richard-irving-stearns,Richard Irving STEARNS,United States of America,US,USA
Sailing,twoperson keelboat open Star mixed,Open,SILVER,GameTeam,Glider,https://olympics.com/en/athletes/lynn-alfred-iii-williams,Lynn Alfred III WILLIAMS,United States of America,US,USA
Sailing,twoperson keelboat open Star mixed,Open,BRONZE,GameTeam,Humbug V,https://olympics.com/en/athletes/pelle-petterson,Pelle PETTERSON,Sweden,SE,SWE
Sailing,twoperson keelboat open Star mixed,Open,BRONZE,GameTeam,Humbug V,https://olympics.com/en/athletes/holger-sundstrom,Holger SUNDSTRÖM,Sweden,SE,SWE
Sailing,dragon mixed,Open,GOLD,GameTeam,White Lady,,,Denmark,DK,DEN
Sailing,dragon mixed,Open,SILVER,GameTeam,Mutafo,,,Germany,DE,GER
Sailing,dragon mixed,Open,BRONZE,GameTeam,Aphrodite,,,United States of America,US,USA
Sailing,Finn - One Person Dinghy (Heavyweight) men,Open,GOLD,Athlete,,https://olympics.com/en/athletes/wilhelm-kuhweide,Wilhelm KUHWEIDE,Germany,DE,GER
Sailing,Finn - One Person Dinghy (Heavyweight) men,Open,SILVER,Athlete,,https://olympics.com/en/athletes/peter-jones-barrett,Peter Jones BARRETT,United States of America,US,USA
Sailing,Finn - One Person Dinghy (Heavyweight) men,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/henning-norgaard-wind,Henning Norgaard WIND,Denmark,DK,DEN
Sailing,5.5m mixed,Open,GOLD,GameTeam,Barrenjoey,,,Australia,AU,AUS
Sailing,5.5m mixed,Open,SILVER,GameTeam,Rush VII,,,Sweden,SE,SWE
Sailing,5.5m mixed,Open,BRONZE,GameTeam,Bingo,,,United States of America,US,USA
Wrestling,"Heavyweight, Freestyle (>97 kilograms) Men",Men,GOLD,Athlete,,https://olympics.com/en/athletes/aleksandr-ivanitsky,Aleksandr IVANITSKY,Soviet Union,,URS
Wrestling,"Heavyweight, Freestyle (>97 kilograms) Men",Men,SILVER,Athlete,,,Lyutvi Akhmedov,Bulgaria,BG,BUL
